T (K),g*e 150,g*e 170,g*e 214
1.16E+17,106.75,106.75,106.75
5.8E+16,106.75,106.75,106.75
2.32E+16,106.74,106.74,106.74
1.16E+16,106.72,106.72,106.72
5.8E+15,106.61,106.61,106.61
2.32E+15,105.9,105.9,105.9
1.16E+15,103.53,103.53,103.53
5.8E+14,97.4,97.4,97.4
2.32E+14,88.45,88.45,88.45
1.16E+14,86.22,86.22,86.22
5.8E+13,85.6,85.6,85.6
2.32E+13,82.5,82.5,82.5
1.16E+13,76.34,76.34,76.34
5.8E+12,69.26,69.26,69.26
2.48E+12,62.49,62.49,62.49
2.32E+12,62.21,62.21,50.75
2.2E+12,62.03,62.03,44.01
2.09E+12,61.87,61.87,38.27
1.97E+12,61.72,61.72,33.47
1.86E+12,61.58,29.51,29.51
1.74E+12,61.45,26.31,26.31
1.62E+12,23.77,23.77,23.77
1.51E+12,21.76,21.76,21.76
1.16E+12,18,18,18
5.8E+11,14.63,14.63,14.63
2.32E+11,11.33,11.33,11.33
1.16E+11,10.76,10.76,10.76
58000000000,10.74,10.74,10.74
23200000000,10.71,10.71,10.71
11600000000,10.6,10.6,10.6
5800000000,10.16,10.16,10.16
2320000000,7.66,7.66,7.66
1160000000,4.46,4.46,4.46
580000000,3.39,3.39,3.39
232000000,3.36,3.36,3.36
116000000,3.36,3.36,3.36
